Age,CityTier,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,TypeofContact,Occupation,Gender,ProductPitched,MaritalStatus,Designation
38.0,1,17.0,4,2.0,3.0,5.0,0,4,1,3.0,23358.0,Self Enquiry,Salaried,Male,Basic,Single,Executive
36.0,1,32.0,4,5.0,4.0,5.0,0,3,1,2.0,29581.0,Self Enquiry,Large Business,Male,Standard,Divorced,Senior Manager
40.0,1,7.0,3,3.0,3.0,2.0,0,3,1,1.0,28291.0,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
31.0,3,16.0,2,3.0,3.0,3.0,1,1,0,0.0,21583.0,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
29.0,1,34.0,3,6.0,5.0,2.0,0,4,1,1.0,23886.0,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
31.0,3,11.0,3,3.0,3.0,2.0,0,1,0,2.0,20476.0,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
46.0,1,7.0,4,4.0,4.0,3.0,0,3,1,2.0,26119.0,Self Enquiry,Large Business,Male,Standard,Married,Senior Manager
39.0,3,9.0,3,4.0,4.0,2.0,0,4,1,2.0,26029.0,Self Enquiry,Small Business,Male,Standard,Single,Senior Manager
44.0,1,21.0,3,3.0,3.0,2.0,0,3,0,1.0,22978.0,Self Enquiry,Small Business,Female,Standard,Divorced,Senior Manager
23.0,1,12.0,3,3.0,4.0,3.0,1,4,0,1.0,21006.0,Self Enquiry,Salaried,Male,Basic,Married,Executive
51.0,3,10.0,3,5.0,3.0,3.0,1,4,0,1.0,21361.0,Self Enquiry,Small Business,Male,Basic,Divorced,Executive
49.0,1,10.0,2,4.0,3.0,3.0,0,3,0,1.0,33711.0,Self Enquiry,Small Business,Male,King,Married,VP
37.0,1,10.0,2,3.0,3.0,1.0,1,5,1,1.0,17996.0,Self Enquiry,Salaried,Male,Basic,Divorced,Executive
59.0,1,14.0,3,5.0,5.0,2.0,1,4,1,1.0,28686.0,Self Enquiry,Small Business,Female,Standard,Divorced,Senior Manager
33.0,1,8.0,3,3.0,3.0,5.0,0,3,0,2.0,17496.0,Self Enquiry,Small Business,Male,Basic,Single,Executive
37.0,3,20.0,4,5.0,5.0,7.0,1,1,1,1.0,24812.0,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
34.0,3,14.0,2,4.0,4.0,2.0,0,4,0,1.0,22980.0,Company Invited,Salaried,Female,Deluxe,Married,Manager
22.0,3,16.0,3,4.0,3.0,3.0,0,4,0,1.0,21288.0,Company Invited,Small Business,Male,Basic,Single,Executive
40.0,1,14.0,2,4.0,4.0,3.0,0,1,1,1.0,28757.0,Company Invited,Small Business,Male,Standard,Married,Senior Manager
42.0,1,11.0,3,3.0,3.0,5.0,0,3,1,0.0,17093.0,Company Invited,Salaried,Male,Basic,Divorced,Executive
39.0,1,18.0,3,3.0,4.0,5.0,0,3,1,1.0,20295.0,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
33.0,1,34.0,3,3.0,3.0,2.0,1,1,1,0.0,20207.0,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
58.0,3,36.0,3,5.0,3.0,5.0,0,3,0,1.0,32796.0,Self Enquiry,Small Business,Male,Super Deluxe,Married,AVP
33.0,3,22.0,3,3.0,5.0,3.0,1,5,0,0.0,23564.0,Self Enquiry,Salaried,Female,Standard,Single,Senior Manager
44.0,3,7.0,3,3.0,3.0,4.0,0,3,1,1.0,22978.0,Company Invited,Large Business,Male,Basic,Married,Executive
40.0,3,16.0,2,4.0,4.0,1.0,0,5,1,1.0,21852.0,Self Enquiry,Large Business,Female,Deluxe,Married,Manager
35.0,1,7.0,3,4.0,3.0,3.0,0,3,1,1.0,21369.0,Self Enquiry,Salaried,Male,Basic,Divorced,Executive
42.0,1,14.0,3,4.0,3.0,8.0,0,3,1,1.0,23681.0,Self Enquiry,Small Business,Female,Deluxe,Single,Manager
24.0,1,19.0,4,4.0,3.0,3.0,0,5,1,1.0,21325.0,Self Enquiry,Salaried,Male,Basic,Single,Executive
34.0,3,6.0,3,4.0,3.0,2.0,1,1,1,1.0,22083.0,Self Enquiry,Large Business,Male,Standard,Divorced,Senior Manager
53.0,3,14.0,3,3.0,3.0,6.0,0,3,1,0.0,26836.0,Self Enquiry,Small Business,Male,Super Deluxe,Married,AVP
35.0,3,33.0,2,3.0,3.0,2.0,1,5,0,0.0,20813.0,Self Enquiry,Salaried,Male,Deluxe,Single,Manager
52.0,1,11.0,3,4.0,3.0,2.0,1,2,1,2.0,21139.0,Self Enquiry,Salaried,Male,Basic,Divorced,Executive
36.0,1,7.0,2,5.0,3.0,3.0,0,4,1,1.0,21537.0,Self Enquiry,Small Business,Male,Basic,Single,Executive
37.0,1,15.0,2,3.0,3.0,2.0,1,2,0,0.0,17326.0,Company Invited,Small Business,Male,Basic,Divorced,Executive
31.0,3,15.0,4,4.0,3.0,7.0,0,3,1,1.0,25942.0,Self Enquiry,Salaried,Male,Standard,Married,Senior Manager
50.0,3,5.0,2,3.0,3.0,5.0,1,5,0,1.0,34331.0,Self Enquiry,Small Business,Male,King,Married,VP
56.0,3,9.0,3,4.0,3.0,6.0,0,2,0,2.0,23838.0,Self Enquiry,Small Business,Male,Deluxe,Single,Manager
33.0,1,7.0,4,4.0,5.0,3.0,0,1,0,2.0,21634.0,Self Enquiry,Salaried,Male,Basic,Single,Executive
27.0,1,18.0,3,4.0,5.0,3.0,1,3,1,1.0,23419.0,Company Invited,Small Business,Male,Deluxe,Married,Manager
31.0,1,26.0,3,3.0,3.0,4.0,0,3,1,0.0,24824.0,Company Invited,Salaried,Male,Standard,Married,Senior Manager
33.0,1,22.0,3,4.0,3.0,7.0,0,3,0,2.0,25345.0,Company Invited,Small Business,Female,Deluxe,Married,Manager
41.0,3,6.0,2,1.0,5.0,2.0,0,3,1,1.0,23392.0,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
35.0,1,8.0,3,3.0,5.0,2.0,1,1,1,1.0,17074.0,Self Enquiry,Salaried,Female,Basic,Married,Executive
22.0,1,25.0,4,4.0,3.0,3.0,0,3,1,3.0,21371.0,Self Enquiry,Salaried,Female,Basic,Single,Executive
57.0,1,16.0,4,4.0,3.0,4.0,0,2,0,1.0,21620.0,Company Invited,Small Business,Female,Basic,Divorced,Executive
37.0,3,27.0,2,3.0,3.0,6.0,0,1,1,0.0,17973.0,Company Invited,Small Business,Female,Basic,Married,Executive
28.0,1,6.0,2,3.0,3.0,1.0,1,4,0,0.0,17154.0,Company Invited,Small Business,Male,Basic,Single,Executive
35.0,1,26.0,4,4.0,3.0,2.0,0,3,0,3.0,21339.0,Self Enquiry,Small Business,Male,Basic,Married,Executive
46.0,1,14.0,3,4.0,5.0,4.0,0,3,0,1.0,28402.0,Self Enquiry,Salaried,Male,Standard,Married,Senior Manager
30.0,1,16.0,2,5.0,3.0,2.0,0,2,1,1.0,22661.0,Self Enquiry,Salaried,Male,Basic,Single,Executive
36.0,1,7.0,3,2.0,3.0,5.0,0,3,0,1.0,21184.0,Self Enquiry,Salaried,Female,Basic,Single,Executive
33.0,3,33.0,4,4.0,3.0,2.0,0,4,1,3.0,23143.0,Company Invited,Small Business,Male,Deluxe,Divorced,Manager
33.0,3,11.0,2,3.0,3.0,2.0,1,1,0,1.0,17851.0,Self Enquiry,Small Business,Female,Basic,Single,Executive
27.0,1,23.0,2,3.0,4.0,1.0,1,4,0,0.0,18058.0,Self Enquiry,Large Business,Male,Basic,Married,Executive
29.0,1,24.0,3,5.0,3.0,7.0,0,3,0,2.0,21045.0,Self Enquiry,Large Business,Male,Basic,Married,Executive
37.0,1,22.0,3,4.0,3.0,2.0,0,4,0,1.0,23512.0,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
33.0,1,6.0,2,4.0,3.0,1.0,0,4,1,1.0,21949.0,Self Enquiry,Salaried,Female,Deluxe,Single,Manager
41.0,2,16.0,3,4.0,3.0,4.0,0,1,1,1.0,34141.0,Self Enquiry,Salaried,Male,King,Married,VP
46.0,3,8.0,3,3.0,3.0,5.0,1,3,0,2.0,25368.0,Self Enquiry,Salaried,Male,Standard,Married,Senior Manager
27.0,1,12.0,3,5.0,3.0,3.0,1,1,0,2.0,21044.0,Company Invited,Small Business,Female,Basic,Married,Executive
46.0,1,14.0,4,2.0,3.0,6.0,0,1,1,1.0,25112.0,Company Invited,Salaried,Male,Deluxe,Married,Manager
33.0,1,16.0,4,4.0,3.0,3.0,1,5,1,3.0,25000.0,Self Enquiry,Salaried,Female,Deluxe,Divorced,Manager
27.0,1,15.0,2,3.0,4.0,7.0,0,3,1,1.0,17024.0,Company Invited,Small Business,Male,Basic,Married,Executive
25.0,1,24.0,4,4.0,4.0,3.0,0,2,0,2.0,20888.0,Self Enquiry,Salaried,Female,Basic,Divorced,Executive
23.0,1,18.0,3,4.0,4.0,3.0,0,2,1,1.0,20922.0,Self Enquiry,Small Business,Female,Basic,Divorced,Executive
61.0,1,14.0,3,4.0,5.0,7.0,0,5,0,1.0,38244.0,Self Enquiry,Salaried,Female,King,Divorced,VP
46.0,1,17.0,4,4.0,3.0,5.0,0,5,1,1.0,21332.0,Self Enquiry,Salaried,Male,Basic,Divorced,Executive
27.0,1,10.0,4,4.0,5.0,2.0,0,3,0,2.0,21780.0,Company Invited,Large Business,Male,Basic,Single,Executive
32.0,3,6.0,2,3.0,3.0,2.0,0,5,1,0.0,25422.0,Self Enquiry,Small Business,Female,Standard,Married,Senior Manager
46.0,2,11.0,3,6.0,3.0,6.0,0,1,1,2.0,28434.0,Self Enquiry,Salaried,Female,Standard,Married,Senior Manager
35.0,1,29.0,2,4.0,3.0,4.0,1,4,1,0.0,20916.0,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
58.0,1,31.0,3,2.0,3.0,5.0,1,4,1,1.0,28117.0,Self Enquiry,Salaried,Male,Standard,Married,Senior Manager
30.0,3,18.0,2,3.0,3.0,1.0,0,1,1,1.0,21577.0,Self Enquiry,Large Business,Female,Deluxe,Single,Manager
44.0,3,22.0,3,5.0,3.0,5.0,0,5,0,2.0,25482.0,Company Invited,Salaried,Male,Deluxe,Divorced,Manager
42.0,3,7.0,4,4.0,5.0,2.0,0,3,0,2.0,22781.0,Company Invited,Small Business,Female,Deluxe,Married,Manager
34.0,1,7.0,4,4.0,3.0,3.0,1,3,1,1.0,21364.0,Self Enquiry,Salaried,Male,Basic,Single,Executive
29.0,1,7.0,4,6.0,4.0,2.0,1,1,1,3.0,20894.0,Self Enquiry,Salaried,Female,Basic,Single,Executive
37.0,1,6.0,1,3.0,3.0,3.0,1,3,0,0.0,28603.0,Company Invited,Small Business,Female,Standard,Married,Senior Manager
31.0,3,17.0,4,5.0,3.0,3.0,0,2,1,1.0,25256.0,Self Enquiry,Small Business,Male,Deluxe,Divorced,Manager
41.0,3,31.0,4,2.0,4.0,6.0,1,3,1,3.0,31872.0,Company Invited,Salaried,Female,Super Deluxe,Single,AVP
28.0,1,9.0,3,4.0,5.0,3.0,0,3,0,2.0,21019.0,Self Enquiry,Salaried,Female,Basic,Married,Executive
52.0,1,13.0,3,5.0,3.0,2.0,0,5,1,2.0,21516.0,Company Invited,Small Business,Female,Basic,Single,Executive
46.0,3,8.0,2,3.0,5.0,4.0,0,2,0,1.0,33947.0,Self Enquiry,Small Business,Female,King,Single,VP
43.0,1,10.0,4,2.0,3.0,4.0,1,5,1,1.0,23909.0,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
27.0,1,28.0,3,4.0,3.0,3.0,0,5,1,2.0,21055.0,Self Enquiry,Small Business,Male,Basic,Married,Executive
47.0,3,17.0,4,4.0,4.0,7.0,0,1,0,3.0,25992.0,Self Enquiry,Salaried,Female,Standard,Married,Senior Manager
29.0,3,15.0,2,5.0,4.0,2.0,0,1,1,1.0,17760.0,Self Enquiry,Small Business,Female,Basic,Single,Executive
41.0,3,9.0,3,4.0,4.0,2.0,0,2,0,2.0,24393.0,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
53.0,1,11.0,2,3.0,3.0,5.0,0,5,0,1.0,34094.0,Self Enquiry,Salaried,Female,King,Married,VP
40.0,1,16.0,2,1.0,3.0,4.0,1,3,0,1.0,17213.0,Self Enquiry,Salaried,Female,Basic,Married,Executive
35.0,1,31.0,3,3.0,4.0,2.0,1,3,0,0.0,17022.0,Company Invited,Salaried,Female,Basic,Married,Executive
41.0,3,7.0,3,6.0,3.0,4.0,1,3,1,1.0,26135.0,Self Enquiry,Small Business,Male,Deluxe,Divorced,Manager
60.0,1,10.0,4,5.0,3.0,5.0,0,3,0,2.0,20855.0,Self Enquiry,Salaried,Male,Basic,Divorced,Executive
19.0,1,31.0,2,1.0,3.0,2.0,1,5,1,0.0,17994.0,Self Enquiry,Salaried,Female,Basic,Single,Executive
41.0,1,12.0,3,4.0,4.0,7.0,1,3,1,2.0,21032.0,Self Enquiry,Small Business,Male,Deluxe,Single,Manager
27.0,1,28.0,3,4.0,3.0,3.0,0,5,1,1.0,21055.0,Self Enquiry,Small Business,Male,Basic,Married,Executive
40.0,3,28.0,3,5.0,3.0,5.0,1,1,0,2.0,24798.0,Self Enquiry,Salaried,Male,Deluxe,Divorced,Manager
28.0,3,15.0,3,4.0,3.0,2.0,0,3,1,2.0,23020.0,Company Invited,Small Business,Male,Deluxe,Married,Manager
59.0,1,8.0,3,4.0,3.0,4.0,1,5,0,2.0,28726.0,Self Enquiry,Salaried,Female,Super Deluxe,Single,AVP
39.0,1,9.0,4,4.0,3.0,8.0,1,4,0,1.0,21735.0,Self Enquiry,Small Business,Male,Basic,Divorced,Executive
32.0,1,8.0,3,3.0,3.0,1.0,0,3,1,1.0,18068.0,Company Invited,Salaried,Male,Basic,Single,Executive
31.0,3,11.0,2,3.0,4.0,2.0,0,3,0,1.0,17789.0,Company Invited,Small Business,Female,Basic,Married,Executive
31.0,1,8.0,4,4.0,4.0,2.0,1,4,1,3.0,22257.0,Self Enquiry,Small Business,Male,Basic,Married,Executive
34.0,3,6.0,3,1.0,3.0,1.0,0,5,1,2.0,24725.0,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
39.0,1,24.0,4,5.0,3.0,2.0,0,1,1,3.0,27501.0,Self Enquiry,Salaried,Female,Standard,Married,Senior Manager
27.0,1,23.0,2,3.0,4.0,1.0,1,4,1,0.0,18058.0,Self Enquiry,Large Business,Male,Basic,Divorced,Executive
48.0,3,9.0,3,4.0,4.0,2.0,0,1,0,2.0,23656.0,Company Invited,Small Business,Male,Deluxe,Married,Manager
41.0,3,15.0,2,5.0,3.0,1.0,0,5,1,1.0,21151.0,Company Invited,Salaried,Male,Super Deluxe,Married,AVP
25.0,1,7.0,3,5.0,3.0,3.0,0,3,1,2.0,23295.0,Self Enquiry,Salaried,Male,Deluxe,Single,Manager
30.0,1,24.0,3,3.0,3.0,2.0,0,2,1,0.0,17632.0,Self Enquiry,Salaried,Female,Basic,Single,Executive
57.0,3,35.0,2,4.0,3.0,4.0,0,3,1,0.0,29118.0,Self Enquiry,Small Business,Male,Super Deluxe,Married,AVP
48.0,1,6.0,2,4.0,5.0,1.0,0,4,0,0.0,30402.0,Self Enquiry,Salaried,Female,Super Deluxe,Married,AVP
29.0,1,7.0,3,4.0,5.0,4.0,0,4,0,1.0,20758.0,Self Enquiry,Large Business,Male,Basic,Single,Executive
29.0,3,8.0,3,4.0,4.0,3.0,0,4,1,0.0,21644.0,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
36.0,1,9.0,3,5.0,5.0,4.0,1,3,0,1.0,22184.0,Company Invited,Salaried,Female,Basic,Single,Executive
32.0,1,33.0,3,4.0,3.0,3.0,0,3,0,2.0,21589.0,Self Enquiry,Salaried,Male,Basic,Married,Executive
45.0,1,30.0,4,4.0,4.0,6.0,0,3,1,1.0,20720.0,Company Invited,Small Business,Male,Deluxe,Divorced,Manager
32.0,1,18.0,3,4.0,3.0,5.0,1,3,1,2.0,21034.0,Self Enquiry,Salaried,Male,Basic,Divorced,Executive
56.0,1,25.0,4,4.0,4.0,5.0,1,5,1,3.0,25063.0,Company Invited,Small Business,Male,Deluxe,Divorced,Manager
45.0,1,24.0,4,6.0,3.0,4.0,0,4,1,2.0,20968.0,Company Invited,Salaried,Male,Basic,Single,Executive
39.0,2,17.0,4,4.0,3.0,5.0,0,3,0,3.0,24755.0,Company Invited,Salaried,Male,Deluxe,Married,Manager
46.0,3,8.0,3,3.0,5.0,1.0,0,1,1,1.0,32048.0,Self Enquiry,Small Business,Female,Super Deluxe,Married,AVP
34.0,1,11.0,3,4.0,4.0,7.0,0,1,0,1.0,21733.0,Company Invited,Large Business,Male,Deluxe,Married,Manager
39.0,1,31.0,3,3.0,3.0,4.0,0,1,0,0.0,25920.0,Company Invited,Salaried,Male,Standard,Divorced,Senior Manager
21.0,1,6.0,3,4.0,4.0,2.0,1,5,0,2.0,17070.0,Self Enquiry,Large Business,Female,Basic,Single,Executive
51.0,3,7.0,4,4.0,3.0,2.0,0,1,0,2.0,25025.0,Company Invited,Salaried,Female,Deluxe,Married,Manager
24.0,3,9.0,4,4.0,5.0,5.0,0,3,1,3.0,21000.0,Self Enquiry,Large Business,Male,Basic,Married,Executive
49.0,1,16.0,2,3.0,5.0,1.0,1,3,0,1.0,33665.0,Company Invited,Salaried,Female,King,Single,VP
26.0,1,9.0,4,2.0,5.0,2.0,0,1,0,2.0,22102.0,Self Enquiry,Small Business,Male,Basic,Single,Executive
29.0,1,15.0,2,3.0,3.0,1.0,0,5,1,1.0,17974.0,Self Enquiry,Small Business,Female,Basic,Married,Executive
27.0,1,10.0,3,3.0,3.0,2.0,0,2,1,1.0,17318.0,Self Enquiry,Salaried,Female,Basic,Single,Executive
50.0,3,9.0,4,5.0,4.0,4.0,0,3,1,3.0,24068.0,Company Invited,Small Business,Male,Deluxe,Married,Manager
36.0,1,15.0,3,1.0,4.0,2.0,0,5,1,0.0,17810.0,Company Invited,Salaried,Male,Basic,Married,Executive
37.0,2,15.0,4,5.0,5.0,2.0,0,2,1,3.0,21020.0,Self Enquiry,Salaried,Male,Basic,Divorced,Executive
41.0,1,6.0,3,3.0,3.0,4.0,0,1,0,0.0,17782.0,Self Enquiry,Salaried,Male,Basic,Married,Executive
50.0,1,8.0,1,3.0,5.0,3.0,0,3,1,0.0,32856.0,Company Invited,Small Business,Female,Super Deluxe,Divorced,AVP
21.0,1,9.0,3,4.0,3.0,2.0,0,5,1,2.0,18230.0,Self Enquiry,Small Business,Male,Basic,Single,Executive
41.0,1,9.0,4,4.0,3.0,4.0,0,1,0,1.0,21023.0,Self Enquiry,Small Business,Male,Basic,Married,Executive
43.0,3,22.0,3,3.0,3.0,6.0,1,3,0,1.0,31064.0,Self Enquiry,Small Business,Female,Super Deluxe,Divorced,AVP
32.0,3,9.0,3,4.0,3.0,2.0,0,4,1,1.0,21745.0,Self Enquiry,Salaried,Male,Basic,Married,Executive
41.0,1,7.0,4,5.0,4.0,3.0,0,1,1,2.0,32181.0,Company Invited,Salaried,Male,Super Deluxe,Married,AVP
27.0,1,10.0,2,1.0,4.0,2.0,1,4,1,0.0,21142.0,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
23.0,1,11.0,4,5.0,3.0,7.0,0,5,0,1.0,22572.0,Company Invited,Large Business,Male,Basic,Single,Executive
28.0,1,15.0,3,3.0,3.0,2.0,0,2,1,1.0,17070.0,Self Enquiry,Small Business,Male,Basic,Divorced,Executive
29.0,2,15.0,4,5.0,3.0,3.0,0,2,0,2.0,23614.0,Self Enquiry,Small Business,Male,Basic,Married,Executive
42.0,1,9.0,3,1.0,3.0,3.0,1,5,1,0.0,20231.0,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
29.0,1,23.0,3,4.0,3.0,3.0,0,3,0,1.0,20822.0,Company Invited,Small Business,Male,Basic,Single,Executive
49.0,1,12.0,2,4.0,3.0,3.0,1,5,1,0.0,28966.0,Self Enquiry,Salaried,Female,Super Deluxe,Married,AVP
41.0,1,18.0,2,3.0,3.0,2.0,0,4,1,1.0,34545.0,Self Enquiry,Large Business,Female,King,Married,VP
23.0,1,23.0,4,3.0,3.0,3.0,1,3,0,1.0,21613.0,Company Invited,Small Business,Male,Basic,Married,Executive
44.0,1,14.0,3,4.0,5.0,2.0,0,5,1,1.0,28663.0,Self Enquiry,Salaried,Female,Standard,Married,Senior Manager
27.0,1,15.0,4,3.0,4.0,2.0,0,3,0,1.0,17279.0,Self Enquiry,Small Business,Female,Basic,Single,Executive
48.0,3,11.0,3,4.0,3.0,3.0,1,3,1,2.0,22841.0,Self Enquiry,Salaried,Female,Deluxe,Single,Manager
35.0,1,26.0,4,4.0,3.0,2.0,0,3,0,1.0,21339.0,Self Enquiry,Small Business,Male,Basic,Married,Executive
